,CV
PRE_MAP,1.9609361633379037
TSP,0.8938846077313596
LA_DWELL,0.4136732145415022
ACCESS,0.41125724544590064
ABL_DURATION,0.3857683813574183
PT_PREP,0.28378132868742834
POST_CARE,0.24772528659607976
ABL_TIME,0.1480439173974409
