,Importance
NUM_ABL,0.24775131072520887
TSP,0.23744818358655712
PRE_MAP,0.20888712612066102
PHYSICIAN_CASE_SEQ,0.10397834984393926
ACCESS,0.08237727529797802
DAY_POSITION,0.04773339950845618
is_DrB,0.03531859334502694
has_extra,0.026984527731900784
is_DrC,0.009521233840271835
